FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4300000,0,5,1.3,3.02325581395349E-07,1.16279069767442E-06,0,20186,0,2,0,0,0,0,0,1.2,39,-2,0,5,2,0,0,0,0,0,0,0,0,0.1,11802,0,0,0,0,136,0,0,0,19,West Brom,Watford,Tottenham,Chelsea,,0,0,0,4.6
Tammy,Abraham,FWD,SWA,5400000,1,83,3,5.55555555555556E-07,1.53703703703704E-05,0,1343049,0,30,0,0,0,5,0,15.4,5603,-1,0,83,1,0.6,0,3,11,0,4,0,3,3.4,1326005,0,0,0,1,1623,497,0,0,235,Chelsea,Bournemouth,Southampton,Stoke,,0,6.2,3.7,107.5
Charlie,Adam,MID,STK,4700000,0,10,0.285714285714286,6.0790273556231E-08,2.12765957446809E-06,0,7986,2,9,0,0,0,0,0,2.1,19,-3,0,10,3,0,1,0,0,0,2,0,0,0.1,3571,0,0,0,0,405,22,0,1,57,Liverpool,Crystal Palace,Swansea,,,0.1,0.1,0.1,27.1
,Adam Smith,DEF,BOU,4800000,0,56,2.1,4.375E-07,1.16666666666667E-05,0,70145,6,38,0,0,0,1,0,11.7,1061,-2,0,56,2,0,0,0,3,0,2,0,3,0.4,36576,0,0,0,0,2067,31,0,0,376,Southampton,Swansea,Burnley,,,0,0,0,94.5
Oluwatosin,Adarabioyo,DEF,MCI,4000000,0,0,0,0,0,0,2493,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,3962,0,0,0,0,0,99,0,0,0,West Ham,Huddersfield,Brighton,Southampton,,0,0,0,0
,Adrian,GLK,WHU,4100000,0,48,1.41176470588235,3.44332855093257E-07,1.17073170731707E-05,0,171191,2,24,0,50,0,0,0,11.7,6253,-4,0,48,4,0,0,0,1,0,4,0,0,1.8,261941,0,0,0,0,1350,2464,0,0,276,Man City,Leicester,Man Utd,Everton,,0.9,1.7,0.9,34.3
Ibrahim,Afellay,MID,STK,4800000,0,6,0.171428571428571,3.57142857142857E-08,1.25E-06,0,1878,1,9,0,0,0,0,0,1.3,10,-2,0,6,2,0,0,0,0,0,0,0,0,0,1396,0,0,0,0,162,9,0,0,29,Liverpool,Crystal Palace,Swansea,,,0.1,0.1,0.1,1.8
Benik,Afobe,FWD,BOU,5700000,0,24,1.4,2.45614035087719E-07,4.21052631578947E-06,0,33904,0,12,0,0,0,0,0,4.2,18,-3,0,24,3,0,0,0,0,0,0,0,1,0.2,7426,0,0,0,0,534,1,0,0,73,Southampton,Swansea,Burnley,,,0,0,0,31.3
Sergio,Aguero,FWD,MCI,11500000,0,169,6.8,5.91304347826087E-07,1.4695652173913E-05,0,4160538,2,12,0,0,0,21,0,14.7,29467,0,1,169,0,0,0,0,22,0,13,0,6,11.2,4136587,0,0,0,4,1960,201,-1,0,740,West Ham,Huddersfield,Brighton,Southampton,,0,0,0,302.5
Nathan,Ake,DEF,BOU,5000000,0,93,2.7,5.4E-07,1.86E-05,0,524733,5,56,0,0,0,2,0,18.2,10978,0,1,93,0,0.3,0,1.5,8,0,5,0,3,6.4,467361,0,0,0,1,3082,3025,-1,0,596,Southampton,Swansea,Burnley,,,2.6,2.7,2.2,118.6
