FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5400000,0,0,0,0,0,0,8680,0,0,0,0,0,0,0,0,23,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1346,0,0,0,0,0,15,0,0,0,Cardiff City,Brighton,West Ham,Liverpool,Burnley,0,0,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4300000,0,54,2.6,6.04651162790698E-07,1.25581395348837E-05,0,90810,4,25,0,0,0,1,0,12.6,2769,-2,0,54,2,0.2,0,1,0,0,6,0,0,0.5,79263,0,0,0,0,1707,115,0,1,287,Leicester,Burnley,Brighton,Fulham,Southampton,0,2.4,1.7,3,1.8,2.6,2.1,50.6
,Adrian,GLK,WHU,4300000,0,0,0,0,0,0,17127,0,0,0,0,0,0,0,0,199,-2,0,0,2,0,0,0,0,0,0,0,0,0.3,3653,0,0,0,0,0,62,0,0,0,Everton,Chelsea,Man Utd,Leicester,Tottenham,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,11900000,0,165,6.3,5.29411764705882E-07,1.38655462184874E-05,0,3978127,4,14,0,0,0,18,0,14,16513,9,-1,165,-9,0.3,0,3.5,21,0,12,0,9,44.4,4580640,0,0,0,4,1916,329397,1,0,608,Fulham,Cardiff City,Crystal Palace,Tottenham,Man Utd,16.7,0,8,16,7.7,8.4,7.4,252.1
Nathan,Ake,DEF,BOU,5100000,4,96,3.1,6.07843137254902E-07,1.88235294117647E-05,0,334936,2,56,0,0,0,3,0,18.8,23065,1,0,96,-1,0.8,0,4,6,0,8,0,1,5.8,429700,0,0,0,0,2781,11622,0,0,567,Leicester,Burnley,Brighton,Fulham,Southampton,2.7,3.2,2.3,3.8,2.4,3.4,2.8,118
Marc,Albrighton,MID,LEI,5100000,0,52,1.67741935483871,3.28905755850727E-07,1.01960784313725E-05,0,82699,3,15,0,0,0,2,0,10.2,357,-4,0,52,4,0,0,0,4,0,3,0,2,0.3,39711,0,0,0,0,1300,19,0,0,237,Bournemouth,Huddersfield,Newcastle,West Ham,Arsenal,0,0,0,0,0,0.8,0.8,84.8
Toby,Alderweireld,DEF,TOT,6000000,0,89,3.3,5.5E-07,1.48333333333333E-05,0,253766,2,25,0,0,0,0,0,14.8,5867,0,0,89,0,0.2,0,1,5,0,10,0,0,3.6,249565,0,0,0,1,2349,4758,0,0,531,Liverpool,Crystal Palace,Huddersfield,Man City,Brighton,6.3,0,3.8,6.8,3.5,2.4,4.4,83.4
Trent,Alexander-Arnold,DEF,LIV,5600000,2,125,5.7,1.01785714285714E-06,2.23214285714286E-05,0,2482711,3,10,0,0,0,1,0,22.3,150505,6,0,125,-6,0.8,0,4.3,14,0,12,0,6,18.1,2700133,0,0,0,6,1870,19657,0,0,520,Tottenham,Southampton,Chelsea,Cardiff City,Huddersfield,0,6.7,8.3,6.9,7.9,6,8.1,128.4
,Alisson,GLK,LIV,5900000,2,145,4.7,7.96610169491525E-07,2.45762711864407E-05,0,808815,1,18,0,63,0,0,0,24.2,74141,4,1,145,-4,0.6,0,3.3,9,0,17,0,0,23.1,1151861,0,0,0,1,2790,4821,-1,0,624,Tottenham,Southampton,Chelsea,Cardiff City,Huddersfield,5.8,5,6.9,5.7,6.5,4.5,6.4,55.7
Bamidele,Alli,MID,TOT,8800000,0,78,2.6,2.95454545454545E-07,8.86363636363636E-06,0,634868,2,16,0,0,0,5,0,8.9,1835,-2,0,78,2,0.3,0,2.5,8,0,6,0,3,2.5,480443,0,0,0,1,1274,9064,0,0,274,Liverpool,Crystal Palace,Huddersfield,Man City,Brighton,3.4,0,2.5,3.8,2.1,1.9,1.9,119.4
Miguel,Almiron,MID,NEW,6000000,5,19,0.612903225806452,1.02150537634409E-07,3.16666666666667E-06,0,29069,0,7,0,0,0,0,0,3.2,14328,0,0,19,0,0.7,0,4,0,0,2,0,2,0.9,94243,0,0,0,0,438,1492,0,0,64,Arsenal,Crystal Palace,Leicester,Southampton,Brighton,0.3,0.3,0.3,0.3,0.3,0.3,0.3,33
Marcos,Alonso,DEF,CHE,6400000,0,134,5,7.8125E-07,2.09375E-05,0,1993658,6,26,0,0,0,1,0,20.9,44603,-1,0,134,1,0,0,0,19,0,12,0,7,26.7,2247885,0,0,0,3,2399,35893,0,0,594,Cardiff City,Brighton,West Ham,Liverpool,Burnley,13.1,6.8,5.4,6.1,5.5,6.7,5.8,135.1
Daniel,Amartey,MID,LEI,4300000,0,15,0.483870967741936,1.12528132033008E-07,3.48837209302326E-06,0,20606,2,9,0,0,0,0,0,3.5,65,-2,0,15,2,0,0,0,0,0,1,0,0,0.2,11383,0,0,0,0,639,19,0,0,103,Bournemouth,Huddersfield,Newcastle,West Ham,Arsenal,0,0,0,0,0,0.2,0.2,20.8
Luke,Amos,MID,TOT,4300000,0,1,0.0333333333333333,7.75193798449612E-09,2.32558139534884E-07,0,14970,0,0,0,0,0,0,0,0.2,216,-2,0,1,2,0,0,0,0,0,0,0,0,0.2,15270,0,0,0,0,2,399,0,0,3,Liverpool,Crystal Palace,Huddersfield,Man City,Brighton,0,0,0,0,0,0,0,0.2
Ethan,Ampadu,MID,CHE,4400000,0,0,0,0,0,0,4131,0,0,0,0,0,0,0,0,63,-1,0,0,1,0,0,0,0,0,0,0,0,0,2317,0,0,0,0,0,32,0,0,0,Cardiff City,Brighton,West Ham,Liverpool,Burnley,0,0,0,0,0,0,0,0
Florin,Andone,FWD,BHA,5000000,0,32,1.10344827586207,2.20689655172414E-07,6.4E-06,0,41800,2,7,0,0,0,3,0,6.4,893,0,0,32,0,0.4,0,2,2,0,1,0,0,0.2,44770,0,0,0,0,562,291,0,0,86,Southampton,Chelsea,Bournemouth,Cardiff City,Wolverhampton,0,0,1.7,1.2,0.7,0.6,0.6,47.5
,Andre Gomes,MID,EVE,5400000,2,56,1.80645161290323,3.3452807646356E-07,1.03703703703704E-05,0,35843,6,25,0,0,0,1,0,10.4,995,-1,0,56,1,0.5,0,2.7,2,0,7,0,2,0.2,24231,0,0,0,1,1682,188,0,0,233,West Ham,Arsenal,Fulham,Man Utd,Crystal Palace,0.9,1.4,1.1,1,1.2,1.5,0.9,50.8
Michail,Antonio,MID,WHU,6800000,1,85,3.1,4.55882352941176E-07,1.25E-05,0,114669,3,26,0,0,0,4,0,12.5,24754,-2,0,85,2,0.1,0,0.7,4,0,5,0,5,1.3,110585,0,0,0,0,1671,248,0,0,221,Everton,Chelsea,Man Utd,Leicester,Tottenham,2.9,1.7,2.2,2.8,2,3.4,2.2,125.3
Stuart,Armstrong,MID,SOU,5100000,0,61,2.03333333333333,3.98692810457516E-07,1.19607843137255E-05,0,80852,2,22,0,0,0,3,0,12,597,-4,0,61,4,1.2,0,6,3,0,3,0,3,0.2,77718,0,0,0,1,1153,349,0,0,215,Brighton,Liverpool,Wolverhampton,Newcastle,Watford,1.1,1.1,1.6,2.5,1.8,1.1,1.9,90
Marko,Arnautovic,FWD,WHU,6900000,2,87,4,5.79710144927536E-07,1.26086956521739E-05,0,2596805,3,28,0,0,0,7,0,12.6,58645,-1,0,87,1,0.2,0,1.3,12,0,2,0,4,6.7,1890748,0,0,0,2,1496,3486,0,0,299,Everton,Chelsea,Man Utd,Leicester,Tottenham,4.8,3.3,4.2,4.6,3.7,5.1,3.9,148.7
Harry,Arter,MID,CAR,4900000,0,42,1.8,3.6734693877551E-07,8.57142857142857E-06,0,13402,8,38,0,0,0,0,0,8.6,87,-1,0,42,1,0.2,0,1,0,0,6,0,0,0.2,4042,0,0,0,0,1840,29,0,0,200,Chelsea,Man City,Burnley,Brighton,Liverpool,0,0,1.9,0.9,1.1,1.2,0.9,47.6
Christian,Atsu,MID,NEW,5100000,1,37,1.19354838709677,2.34029095509171E-07,7.25490196078431E-06,0,11639,2,14,0,0,0,0,0,7.3,228,-4,0,37,4,0.1,0,0.7,0,0,5,0,0,0.1,5238,0,0,0,0,1207,32,0,0,116,Arsenal,Crystal Palace,Leicester,Southampton,Brighton,0.6,0.6,0.6,0.7,0.6,0.6,0.6,64.5
Pierre-Emerick,Aubameyang,FWD,ARS,10800000,0,164,5.7,5.27777777777778E-07,1.51851851851852E-05,0,3491302,0,34,0,0,0,17,0,15.2,58774,-2,0,164,2,0.3,1,3,26,0,6,0,6,17.3,3382914,0,0,0,4,2198,33285,0,0,589,Newcastle,Everton,Watford,Crystal Palace,Wolverhampton,8,5.6,6.1,12.8,6.6,8.6,6.4,228.1
Serge,Aurier,DEF,TOT,5700000,0,24,0.8,1.40350877192982E-07,4.21052631578947E-06,0,51352,1,9,0,0,0,0,0,4.2,372,-3,0,24,3,0,0,0,0,0,2,0,2,0.5,18426,0,0,0,0,562,110,0,0,116,Liverpool,Crystal Palace,Huddersfield,Man City,Brighton,0,0,0,0,0,0.4,0.5,30.5
Charlie,Austin,FWD,SOU,5500000,0,43,2,3.63636363636364E-07,7.81818181818182E-06,0,115075,1,16,0,0,0,2,0,7.8,1046,-5,0,43,5,0.5,1,3,1,0,5,0,2,0.5,46179,0,0,0,0,947,1374,0,0,117,Brighton,Liverpool,Wolverhampton,Newcastle,Watford,1.3,1.3,1.5,2.6,2,1.4,1.8,67
Jordan,Ayew,FWD,CRY,5700000,0,40,2.2,3.85964912280702E-07,7.01754385964912E-06,0,39863,3,12,0,0,0,1,0,7,391,-3,0,40,3,0,0,0,2,0,5,0,2,0.2,22442,0,0,0,0,1087,901,0,0,98,Huddersfield,Tottenham,Newcastle,Man City,Arsenal,3.4,1.8,1.5,1.7,1.7,1.8,2.1,66.8
Floyd,Ayite,MID,FUL,4300000,2,17,0.548387096774194,1.27531882970743E-07,3.95348837209302E-06,0,12282,0,8,0,0,0,1,0,4,238,-2,0,17,2,0.7,0,3,0,0,0,0,0,0.1,7259,0,0,0,0,317,541,0,0,56,Man City,Watford,Everton,Bournemouth,Cardiff City,0.6,0,0.3,0.3,0.3,0.3,0.3,16
Cesar,Azpilicueta,DEF,CHE,6300000,1,119,4,6.34920634920635E-07,1.88888888888889E-05,0,658610,1,33,0,0,0,0,0,18.9,14197,-2,0,119,2,0.5,0,3,8,0,12,0,5,10.5,360460,0,0,0,1,2700,50785,0,0,648,Cardiff City,Brighton,West Ham,Liverpool,Burnley,10.1,5,3.9,4.5,3.9,4.9,4.2,126
Ryan,Babel,MID,FUL,5500000,9,35,1.12903225806452,2.05278592375367E-07,6.36363636363636E-06,0,24664,3,18,0,0,0,2,0,6.4,2751,0,0,35,0,0.9,0,5,2,0,0,0,3,0.4,47811,0,0,0,1,713,5961,0,0,128,Man City,Watford,Everton,Bournemouth,Cardiff City,1.2,0,0.6,0.6,0.6,0.6,0.7,56.1
Juninho,Bacuna,MID,HUD,4200000,8,28,0.903225806451613,2.1505376344086E-07,6.66666666666667E-06,0,28949,2,22,0,0,0,1,0,6.7,2864,-3,0,28,3,1,0,4,1,0,0,0,0,0.5,43602,0,0,0,1,897,3239,0,0,137,Crystal Palace,Leicester,Tottenham,Watford,Liverpool,0,0.5,0.5,0.5,0.5,0.5,0.5,44.1
Leandro,Bacuna,DEF,CAR,4400000,0,3,0.1,2.27272727272727E-08,6.81818181818182E-07,0,308,1,9,0,0,0,0,0,0.7,42,-1,0,3,1,0.1,0,0.5,0,0,0,0,0,0,525,0,0,0,0,240,49,0,0,29,Chelsea,Man City,Burnley,Brighton,Liverpool,0,0,0,0,0,0,0,7.1
Eric,Bailly,DEF,MUN,5000000,0,14,0.466666666666667,9.33333333333333E-08,2.8E-06,0,190688,0,12,0,0,0,0,0,2.8,439,-5,0,14,5,0,0,0,0,0,1,0,0,1.3,59289,0,0,0,0,566,183,0,1,99,Watford,Wolverhampton,West Ham,Everton,Man City,0,0,0.2,0.4,0.2,0.2,0.2,12.6
Leighton,Baines,DEF,EVE,5000000,0,7,0.225806451612903,4.51612903225806E-08,1.4E-06,0,85749,0,6,0,0,0,0,0,1.4,104,-5,0,7,5,0,0,0,0,0,0,0,0,0.5,17801,0,0,0,0,374,76,0,0,48,West Ham,Arsenal,Fulham,Man Utd,Crystal Palace,0.1,0.1,0.1,0.1,0.1,0.1,0.1,15.4
Tiemoue,Bakayoko,MID,CHE,4900000,0,0,0,0,0,0,11846,0,0,0,0,0,0,0,0,4,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,367,0,0,0,0,0,2,0,0,0,Cardiff City,Brighton,West Ham,Liverpool,Burnley,0,0,0,0,0,0,0,0
Fabian,Balbuena,DEF,WHU,4200000,0,44,1.41935483870968,3.37941628264209E-07,1.04761904761905E-05,0,125476,2,25,0,0,0,1,0,10.5,973,-3,0,44,3,0,0,0,3,0,3,0,0,0.3,120569,0,0,0,1,1473,190,0,0,272,Everton,Chelsea,Man Utd,Leicester,Tottenham,1.4,1,0.7,0.9,0.8,1,0.7,60.7
Sam,Baldock,FWD,BHA,4500000,0,0,0,0,0,0,16756,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1679,0,0,0,0,0,12,0,0,0,Southampton,Chelsea,Bournemouth,Cardiff City,Wolverhampton,0,0,0,0,0,0,0,0
Leon,Balogun,DEF,BHA,4200000,0,15,0.517241379310345,1.23152709359606E-07,3.57142857142857E-06,0,13785,2,10,0,0,0,1,0,3.6,134,-3,0,15,3,0,0,0,0,0,0,0,0,0.1,9351,0,0,0,1,591,74,0,0,86,Southampton,Chelsea,Bournemouth,Cardiff City,Wolverhampton,0.6,0,0.6,0.6,0.3,0.3,0.3,16.2
Sol,Bamba,DEF,CAR,4500000,0,95,3.4,7.55555555555556E-07,2.11111111111111E-05,0,330337,7,52,0,0,0,4,0,20.7,31633,0,1,95,0,-0.1,0,-0.5,11,0,7,0,1,2.2,401309,0,0,0,1,2475,220,-1,0,459,Chelsea,Man City,Burnley,Brighton,Liverpool,0,0,0,0,0,3.4,3.1,114.2
Beni,Baningime,MID,EVE,4300000,0,0,0,0,0,0,5020,0,0,0,0,0,0,0,0,47,-2,0,0,2,0,0,0,0,0,0,0,0,0,3563,0,0,0,0,0,13,0,0,0,West Ham,Arsenal,Fulham,Man Utd,Crystal Palace,0,0,0,0,0,0,0,0
Phil,Bardsley,DEF,BUR,4200000,0,27,1.5,3.57142857142857E-07,6.42857142857143E-06,0,13713,9,27,0,0,0,0,0,6.4,882,-3,0,27,3,-0.1,0,-0.3,0,0,3,0,0,0.2,13214,1,0,0,0,1580,376,0,0,204,Wolverhampton,Bournemouth,Cardiff City,Chelsea,Man City,1.2,0.8,1.5,1.1,1,1.1,0.9,46.6
Ross,Barkley,MID,CHE,5100000,2,69,2.3,4.50980392156863E-07,1.35294117647059E-05,0,681607,1,12,0,0,0,3,0,13.5,2222,-9,0,69,9,0.3,0,1.3,5,0,6,0,4,1.5,716375,0,0,0,2,1031,10011,0,0,261,Cardiff City,Brighton,West Ham,Liverpool,Burnley,3.6,2,1.2,2.2,1.3,1.9,1.6,92.6
Ashley,Barnes,FWD,BUR,5700000,2,98,3.3,5.78947368421053E-07,1.71929824561404E-05,0,229036,5,32,0,0,0,9,0,17.2,41347,-3,0,98,3,0.6,0,3.3,10,0,5,0,3,2.7,359536,0,0,0,1,1767,6754,0,0,308,Wolverhampton,Bournemouth,Cardiff City,Chelsea,Man City,3.3,2.9,3.9,2.5,3.3,2.7,4.1,151.9
Harvey,Barnes,MID,LEI,5500000,2,26,0.838709677419355,1.52492668621701E-07,4.72727272727273E-06,0,11934,0,13,0,0,0,0,0,4.7,5717,0,0,26,0,0.5,0,3,0,0,0,0,3,0.4,40206,0,0,0,0,699,1379,0,0,86,Bournemouth,Huddersfield,Newcastle,West Ham,Arsenal,0.4,0.4,0.4,0.4,0.4,0.4,0.4,66.2
Antonio,Barreca,DEF,NEW,4200000,0,1,0.032258064516129,7.68049155145929E-09,2.38095238095238E-07,0,608,0,0,0,0,0,0,0,0.2,58,-3,0,1,3,0,0,0,0,0,0,0,0,0,914,0,0,0,0,4,28,0,0,3,Arsenal,Crystal Palace,Leicester,Southampton,Brighton,0,0,0,0,0,0,0,0
Michy,Batshuayi,FWD,CRY,6500000,0,23,0.766666666666667,1.17948717948718E-07,3.53846153846154E-06,0,69203,0,5,0,0,0,2,0,3.5,10065,0,0,23,0,0.7,0,4.5,2,0,1,0,1,2.8,202567,0,0,0,0,372,59879,0,0,77,Huddersfield,Tottenham,Newcastle,Man City,Arsenal,0.8,0.4,0.4,0.4,0.4,0.4,0.4,30.3
Danny,Batth,DEF,WOL,4000000,0,0,0,0,0,0,74564,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0.6,5546,0,0,0,0,0,9,0,0,0,Burnley,Man Utd,Southampton,Brighton,Arsenal,0,0,0,0,0,0,0,0
Jan,Bednarek,DEF,SOU,4000000,0,34,2,5E-07,8.5E-06,0,371641,5,22,0,0,0,0,0,8.5,13502,0,0,34,0,0.4,0,1.5,2,0,2,0,1,6.4,468950,0,0,0,0,1430,8342,0,0,245,Brighton,Liverpool,Wolverhampton,Newcastle,Watford,1.3,1.8,1.9,2.4,1.6,1.3,2,54.8
Asmir,Begovic,GLK,BOU,4300000,0,61,2.8,6.51162790697674E-07,1.41860465116279E-05,0,252688,0,42,0,57,0,0,0,14.2,5207,-2,0,61,2,0,0,0,4,0,5,0,0,2.9,155994,0,0,0,0,1980,1539,0,0,348,Leicester,Burnley,Brighton,Fulham,Southampton,2.3,2.7,1.9,3.3,2,2.9,2.4,42.2
Hector,Bellerin,DEF,ARS,5400000,0,60,3.2,5.92592592592593E-07,1.11111111111111E-05,0,1137447,3,21,0,0,0,0,0,11.1,1973,-1,0,60,1,0,0,0,5,0,4,0,5,4.6,566836,1,0,0,0,1532,49,0,0,304,Newcastle,Everton,Watford,Crystal Palace,Wolverhampton,0,0,0,0,0,4.1,2.1,73.7
Yohan,Benalouane,DEF,LEI,3900000,0,0,0,0,0,0,55274,0,0,0,0,0,0,0,0,526,-1,0,0,1,0,0,0,0,0,0,0,0,0.7,28895,0,0,0,0,0,65,0,0,0,Bournemouth,Huddersfield,Newcastle,West Ham,Arsenal,0,0,0,0,0,0,0,0
Filip,Benkovic,DEF,LEI,5000000,0,0,0,0,0,0,2989,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,Bournemouth,Huddersfield,Newcastle,West Ham,Arsenal,0,0,0,0,0,0,0,0
Joe,Bennett,DEF,CAR,4400000,0,61,2.8,6.36363636363636E-07,1.38636363636364E-05,0,53578,2,38,0,0,0,0,0,13.9,791,-1,0,61,1,0.8,0,3.5,4,0,7,0,1,0.4,53062,0,0,0,0,1919,37,0,0,327,Chelsea,Man City,Burnley,Brighton,Liverpool,0,0,4,3,2.2,2.6,2.3,61.5
Ryan,Bennett,DEF,WOL,4100000,0,72,2.6,6.34146341463415E-07,1.75609756097561E-05,0,845405,10,33,0,0,0,1,0,17.1,54146,1,1,72,-1,0.6,0,2.5,1,0,7,0,0,7.9,1009455,0,0,0,0,2520,1771,-1,0,383,Burnley,Man Utd,Southampton,Brighton,Arsenal,3.9,0,2.1,5.1,2.1,2.8,2.1,71.8
Josh,Benson,MID,BUR,4500000,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,21,0,0,0,Wolverhampton,Bournemouth,Cardiff City,Chelsea,Man City,0,0,0,0,0,0,0,0
Christian,Benteke,FWD,CRY,6300000,0,15,0.5,7.93650793650794E-08,2.38095238095238E-06,0,73271,0,8,0,0,0,0,0,2.4,199,-2,0,15,2,0.2,0,1,0,0,2,0,0,0.4,24551,0,0,0,0,499,398,0,0,12,Huddersfield,Tottenham,Newcastle,Man City,Arsenal,0.4,0.2,0.2,0.2,0.2,0.2,0.2,32.6
,Bernard,MID,EVE,5900000,3,63,2.03225806451613,3.44450519409513E-07,1.06779661016949E-05,0,58395,5,16,0,0,0,0,0,10.7,542,-1,0,63,1,0.5,0,2.7,4,0,8,0,4,0.2,44892,0,0,0,0,1539,204,0,0,216,West Ham,Arsenal,Fulham,Man Utd,Crystal Palace,1.1,1.7,1.3,1.2,1.5,1.8,1,85.9
,Bernardo,DEF,BHA,4200000,0,29,1,2.38095238095238E-07,6.9047619047619E-06,0,15807,3,14,0,0,0,0,0,6.9,263,-3,0,29,3,0.8,0,3.5,0,0,2,0,1,0.1,10210,0,0,0,0,1084,887,0,0,185,Southampton,Chelsea,Bournemouth,Cardiff City,Wolverhampton,1.1,0,1.4,1,0.5,0.5,0.5,41.8
,Bernardo Silva,MID,MCI,7500000,0,117,4,5.33333333333333E-07,1.56E-05,0,1692025,3,20,0,0,0,5,0,15.6,22854,0,0,117,0,0.3,0,2.5,11,0,10,0,7,8.3,1747546,0,0,0,2,2284,76645,0,0,505,Fulham,Cardiff City,Crystal Palace,Tottenham,Man Utd,8.5,0,4.3,6.8,3.9,4.1,3.5,214.1
Ryan,Bertrand,DEF,SOU,4800000,0,42,2.6,5.41666666666667E-07,8.75E-06,0,348719,6,27,0,0,0,1,0,8.8,650,-2,0,42,2,0.2,0,1,1,0,5,0,0,1.9,81046,0,0,0,0,1440,780,0,0,218,Brighton,Liverpool,Wolverhampton,Newcastle,Watford,1.9,2.7,2.8,3.9,2.4,2,2.9,63.9
Marcus,Bettinelli,GLK,FUL,4300000,0,15,0.483870967741936,1.12528132033008E-07,3.48837209302326E-06,0,41981,1,20,0,20,0,0,0,3.5,489,-2,0,15,2,0,0,0,0,0,0,0,0,0.3,37855,0,0,1,0,630,23,0,0,114,Man City,Watford,Everton,Bournemouth,Cardiff City,0,0,0,0,0,0.2,0.2,19.4
Philip,Billing,MID,HUD,4500000,0,63,2.3,5.11111111111111E-07,1.4E-05,0,265138,7,43,0,0,0,2,0,14,4336,0,0,63,0,0.2,0,1,4,0,5,0,0,1.3,318557,0,0,0,0,2187,858,0,0,317,Crystal Palace,Leicester,Tottenham,Watford,Liverpool,2,1.6,1.4,1.7,1.2,1.4,1.7,121.3
Yves,Bissouma,MID,BHA,4600000,0,31,1.06896551724138,2.32383808095952E-07,6.73913043478261E-06,0,3382,3,18,0,0,0,0,0,6.7,44,-4,0,31,4,0.5,0,2.5,0,0,2,0,0,0,1881,0,0,0,0,1188,84,0,0,99,Southampton,Chelsea,Bournemouth,Cardiff City,Wolverhampton,1.2,0,1.3,1,0.7,0.5,0.5,42.5
Daley,Blind,DEF,MUN,5000000,0,0,0,0,0,0,656,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,2,0,0,0,Watford,Wolverhampton,West Ham,Everton,Man City,0,0,0,0,0,0,0,0
Omar,Bogle,FWD,CAR,4500000,0,0,0,0,0,0,12175,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1767,0,0,0,0,0,21,0,0,0,Chelsea,Man City,Burnley,Brighton,Liverpool,0,0,0,0,0,0,0,0
Yannick,Bolasie,MID,EVE,5800000,0,0,0,0,0,0,15029,0,0,0,0,0,0,0,0,16,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,712,0,0,0,0,0,4,0,0,0,West Ham,Arsenal,Fulham,Man Utd,Crystal Palace,0,0,0,0,0,0,0,0
Willy,Boly,DEF,WOL,4700000,0,91,3.3,7.02127659574468E-07,1.93617021276596E-05,0,468262,2,33,0,0,0,3,0,19.8,8295,2,-1,91,-2,0.7,0,3.5,8,0,6,0,0,5,623968,0,0,0,2,2448,39969,1,1,481,Burnley,Man Utd,Southampton,Brighton,Arsenal,5.8,0,3,7.1,3.1,3.9,3.1,105.3
Bonatini Lohner Maia,Bonatini,FWD,WOL,4600000,0,10,1.4,3.04347826086957E-07,2.17391304347826E-06,0,70378,0,0,0,0,0,0,0,2.2,248,-4,0,10,4,0,0,0,0,0,0,0,1,0.3,35187,0,0,0,0,130,15,0,0,19,Burnley,Man Utd,Southampton,Brighton,Arsenal,0,0,0,0,0,0,0,13.6
Gaetan,Bong,DEF,BHA,4400000,0,41,2,4.54545454545455E-07,9.31818181818182E-06,0,12103,0,31,0,0,0,0,0,9.3,141,-1,0,41,1,0,0,0,0,0,4,0,0,0.1,9185,0,0,0,0,1625,124,0,0,226,Southampton,Chelsea,Bournemouth,Cardiff City,Wolverhampton,3.4,0,4.1,2.6,1.6,1,1.7,35.9
Artur,Boruc,GLK,BOU,4100000,2,36,1.16129032258065,2.8324154209284E-07,8.78048780487805E-06,0,218604,1,14,0,30,0,0,0,8.8,12488,1,0,36,-1,1.1,0,4.7,4,0,3,0,0,9.3,388280,0,0,0,1,810,22403,0,0,168,Leicester,Burnley,Brighton,Fulham,Southampton,0.6,0.7,0.6,0.9,0.6,0.7,0.6,22.8
Sofiane,Boufal,MID,SOU,5500000,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,Brighton,Liverpool,Wolverhampton,Newcastle,Watford,0,0,0,0,0,0,0,0
Robbie,Brady,MID,BUR,5400000,1,17,0.548387096774194,1.01553166069295E-07,3.14814814814815E-06,0,2888,3,14,0,0,0,0,0,3.1,66,-1,0,17,1,0.1,0,0.7,0,0,1,0,1,0,1727,0,0,0,0,627,30,0,1,64,Wolverhampton,Bournemouth,Cardiff City,Chelsea,Man City,0.3,0.3,0.3,0.3,0.3,0.3,0.3,34.8
Claudio,Bravo,GLK,MCI,4800000,0,0,0,0,0,0,10248,0,0,0,0,0,0,0,0,37,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,1287,0,0,0,0,0,25,0,0,0,Fulham,Cardiff City,Crystal Palace,Tottenham,Man Utd,0,0,0,0,0,0,0,0
,Brian Murphy,GLK,CAR,4000000,0,0,0,0,0,0,9758,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0.2,15709,0,0,0,0,0,173,0,0,0,Chelsea,Man City,Burnley,Brighton,Liverpool,0,0,0,0,0,0,0,0
Miguel,Britos,DEF,WAT,4300000,0,2,0.0666666666666667,1.55038759689922E-08,4.65116279069767E-07,0,4231,0,3,0,0,0,0,0,0.5,29,-2,0,2,2,0.1,0,0.5,0,0,0,0,0,0,966,0,0,0,0,94,57,0,0,12,Man Utd,Fulham,Arsenal,Huddersfield,Southampton,0,0,0,0,0,0,0,1.6
David,Brooks,MID,BOU,5100000,2,101,4,7.84313725490196E-07,1.98039215686275E-05,0,626921,2,32,0,0,0,6,0,19.8,38010,1,0,101,-1,0.5,0,2.3,6,0,8,0,4,4.8,925521,0,0,0,2,1813,21373,0,0,311,Leicester,Burnley,Brighton,Fulham,Southampton,3.6,5.1,3.1,5.4,3.5,3.7,3.9,135.2
Tyias,Browning,DEF,EVE,4000000,0,0,0,0,0,0,5921,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0.1,7236,0,0,0,0,0,22,0,0,0,West Ham,Arsenal,Fulham,Man Utd,Crystal Palace,0,0,0,0,0,0,0,0
